maturity,time_to_maturity,strike,implied_volatility
1W,0.0192,1.02,0.0980
1W,0.0192,1.05,0.0860
1W,0.0192,1.08,0.0780
1W,0.0192,1.10,0.0750
1W,0.0192,1.12,0.0775
1W,0.0192,1.15,0.0840
1W,0.0192,1.18,0.0940
1M,0.0833,1.02,0.1010
1M,0.0833,1.05,0.0890
1M,0.0833,1.08,0.0810
1M,0.0833,1.10,0.0780
1M,0.0833,1.12,0.0805
1M,0.0833,1.15,0.0870
1M,0.0833,1.18,0.0970
3M,0.2500,1.02,0.1060
3M,0.2500,1.05,0.0940
3M,0.2500,1.08,0.0860
3M,0.2500,1.10,0.0830
3M,0.2500,1.12,0.0855
3M,0.2500,1.15,0.0920
3M,0.2500,1.18,0.1020
6M,0.5000,1.02,0.1120
6M,0.5000,1.05,0.1000
6M,0.5000,1.08,0.0920
6M,0.5000,1.10,0.0890
6M,0.5000,1.12,0.0915
6M,0.5000,1.15,0.0980
6M,0.5000,1.18,0.1080
1Y,1.0000,1.02,0.1200
1Y,1.0000,1.05,0.1080
1Y,1.0000,1.08,0.1000
1Y,1.0000,1.10,0.0970
1Y,1.0000,1.12,0.0995
1Y,1.0000,1.15,0.1060
1Y,1.0000,1.18,0.1160
